filename,chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,onset_strength,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
.\chunked_audio_files_drunk\AdultsGetDrunkForTheFirstTimeCHUNK80.wav,0.39381954073905945,0.10942648351192474,1683.545458655944,2058.243592008678,3167.3995971679688,0.079052734375,1.9339792728424072,-176.4578399658203,137.2288360595703,12.47093391418457,7.666501522064209,9.335939407348633,-8.452706336975098,-14.34216594696045,-6.658247470855713,-5.422873497009277,3.1377410888671875,-10.760357856750488,-0.4953325688838959,-6.943611145019531,1.59929358959198,-4.889645576477051,-1.444551706314087,-3.2510643005371094,-1.0742909908294678,-10.512693405151367,-5.366652011871338,0
.\chunked_audio_files_drunk\AdultsGetDrunkForTheFirstTimeCHUNK81.wav,0.423836350440979,0.08392691612243652,2391.1890635054847,2379.462212980532,4343.215403837316,0.1266802619485294,1.7018535137176514,-172.7580108642578,105.13740539550781,19.201580047607422,13.494985580444336,5.524875164031982,-5.399017333984375,-12.580893516540527,-1.7716172933578491,-5.639028072357178,1.4333086013793945,-8.704863548278809,-0.03674006462097168,-5.563845634460449,2.474066734313965,-9.08613395690918,2.0993518829345703,-4.332731246948242,-1.8595302104949951,-9.283537864685059,-3.2557601928710938,0
.\chunked_audio_files_drunk\AdultsGetDrunkForTheFirstTimeCHUNK82.wav,0.3444792628288269,0.11229266971349716,1791.0883327393476,1944.9921958817558,3324.8904020889945,0.07551375679347826,2.18406343460083,-180.20111083984375,116.54463195800781,-3.497621536254883,28.895292282104492,10.83337116241455,2.1843700408935547,-6.176011562347412,1.217092514038086,3.823007583618164,9.868865966796875,-7.283032417297363,2.6357743740081787,-2.467005968093872,-1.955689787864685,-0.9641204476356506,-1.3923016786575317,-4.779242992401123,5.298313140869141,-7.526626110076904,-0.014985385350883007,0
.\chunked_audio_files_drunk\AdultsGetDrunkForTheFirstTimeCHUNK83.wav,0.2948603630065918,0.11545179784297943,1566.7382553642099,1842.0329514184752,2888.525390625,0.05541120256696429,1.9786837100982666,-164.74378967285156,131.71902465820312,-18.699758529663086,18.572978973388672,7.203891277313232,0.15555532276630402,-17.327247619628906,7.93166446685791,-4.624815464019775,8.177925109863281,-3.823641538619995,0.2753632366657257,-1.9473909139633179,-4.1809539794921875,-0.2469898909330368,-0.23528984189033508,-6.819447040557861,2.794559955596924,-9.347332954406738,2.696150541305542,0
.\chunked_audio_files_drunk\AdultsGetDrunkForTheFirstTimeCHUNK84.wav,0.3493044078350067,0.11361930519342422,2164.150000388413,2217.292893083796,4105.41132537412,0.10176193882042253,2.185783624649048,-165.3250732421875,108.46772003173828,5.535776615142822,23.339672088623047,12.203347206115723,-4.830314636230469,-16.972654342651367,10.835898399353027,-3.425297260284424,8.907912254333496,-2.6269357204437256,1.3399194478988647,2.265918254852295,1.568085789680481,-0.08627225458621979,-4.430421829223633,-3.889106035232544,4.289721965789795,-8.670024871826172,2.5519731044769287,0
.\chunked_audio_files_drunk\AdultsGetDrunkForTheFirstTimeCHUNK85.wav,0.322599321603775,0.1156889945268631,1703.6129317248626,2123.132964230776,3349.951171875,0.06196248030462185,1.9035801887512207,-174.74240112304688,123.99119567871094,9.653350830078125,16.881744384765625,1.9507558345794678,-7.073843479156494,-2.7890467643737793,1.4608241319656372,-1.721871256828308,11.141119003295898,-6.157791614532471,3.3566412925720215,-6.032238960266113,2.9295735359191895,-4.32567024230957,0.8535934686660767,-3.172075033187866,-0.7473677396774292,-6.125845432281494,-4.1939377784729,0
.\chunked_audio_files_drunk\AdultsGetDrunkForTheFirstTimeCHUNK86.wav,0.3762458264827728,0.12105395644903183,1730.5990548550678,2086.112436573944,3421.318359375,0.07597191220238095,1.892629861831665,-152.6115264892578,122.78605651855469,9.505284309387207,31.823537826538086,7.561157703399658,-4.480255603790283,-3.0823774337768555,1.3990323543548584,-4.9160308837890625,7.596077919006348,-5.947055339813232,7.002598762512207,0.6209299564361572,4.459875106811523,0.5706630349159241,3.9044415950775146,-2.6809024810791016,3.488210678100586,-1.3462419509887695,-1.9096580743789673,0
.\chunked_audio_files_drunk\AdultsGetDrunkForTheFirstTimeCHUNK87.wav,0.37238821387290955,0.10942739993333817,2392.6166336199003,2460.6040456726882,4940.93701171875,0.10767252604166666,1.2846896648406982,-110.1859130859375,97.06734466552734,-2.685640573501587,25.267711639404297,5.760869026184082,7.738118648529053,-13.295149803161621,1.0504907369613647,-18.464162826538086,12.730279922485352,-20.018705368041992,-2.9983198642730713,-4.516918659210205,-7.35995626449585,-5.278922080993652,3.2268497943878174,-12.234084129333496,-0.7134743332862854,-7.982465744018555,-5.07623815536499,0
.\chunked_audio_files_drunk\AdultsGetDrunkForTheFirstTimeCHUNK9.wav,0.4699379801750183,0.10160329192876816,2056.552158270552,2378.223201979687,4282.0135708512935,0.08467470366379311,1.9349852800369263,-170.55580139160156,114.81216430664062,17.034507751464844,13.58022403717041,2.7938690185546875,8.422786712646484,-6.155557632446289,-5.7867889404296875,2.2591609954833984,1.641162395477295,0.29204440116882324,9.501236915588379,-2.2435128688812256,3.6079771518707275,-5.145626544952393,1.8490771055221558,-3.363373041152954,1.7638548612594604,-7.032083511352539,-2.916577100753784,0
.\chunked_audio_files_drunk\DrunkHistory-TeddyRooseveltLeadsHisRoughRidersIntoBattleCHUNK0.wav,0.4553748667240143,0.04582744091749191,1785.7209992349499,2040.0784243352507,3487.8633225132044,0.08362951144366197,1.7587889432907104,-308.995849609375,118.10733032226562,4.796048641204834,13.469853401184082,4.737879753112793,4.4180989265441895,-11.669096946716309,-1.0928142070770264,-4.49003267288208,3.0232250690460205,-1.2874395847320557,6.774065971374512,1.4687687158584595,2.4182815551757812,-1.489127516746521,3.499244213104248,-3.4620721340179443,-0.295829176902771,0.14193859696388245,0.06725116074085236,0
